ano_campeonato,data,rodada,estadio,arbitro,publico,publico_max,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,resultado,local,eficiencia
2011,11/13/2011,34,Estádio São Januário,Antonio de Carvalho Schneider,33778.0,,vasco da gama,botafogo,Cristóvão Borges,Caio Júnior,2.0,5.0,16100000.0,20750000.0,25.8,27.7,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,vitoria,casa,
2011,12/4/2011,38,Estádio São Januário,Péricles Bassols Pegado Cortez,40004.0,,vasco da gama,flamengo,Cristóvão Borges,Vanderlei Luxemburgo,2.0,4.0,16250000.0,27750000.0,26.6,27.8,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,empate,casa,
2011,6/26/2011,6,Estádio Serra Dourada,Antonio Hora Filho,11959.0,,atlético-go,vasco da gama,,,9.0,7.0,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2011,7/6/2011,8,Estádio Municipal Paulo Machado de Carvalho,Leandro Pedro Vuaden,28453.0,,corinthians,vasco da gama,,,1.0,9.0,,,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,derrota,fora,
2011,7/16/2011,10,Estádio São Januário,Alício Pena Junior,12817.0,,vasco da gama,atlético-pr,,,7.0,20.0,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,vitoria,casa,
2011,7/24/2011,11,Estádio Governador Magalhães Pinto,Edivaldo Elias da Silva,16100.0,,atlético-mg,vasco da gama,,,15.0,5.0,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2011,7/28/2011,12,Estádio São Januário,Sandro Ricci,18873.0,,vasco da gama,ec bahia,,,4.0,15.0,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,empate,casa,
2011,8/17/2011,17,Estádio Aderbal Ramos da Silva,Cleber Wellington Abade,6179.0,,avaí fc,vasco da gama,,,19.0,4.0,,,,,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2011,9/11/2011,23,Estádio Orlando Scarpelli,Nielson Nogueira Dias,12877.0,,figueirense fc,vasco da gama,,,10.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,empate,fora,
2011,10/23/2011,31,Estádio Governador Roberto Santos,Wilton Sampaio,32157.0,,ec bahia,vasco da gama,Joel Santana,Cristóvão Borges,14.0,2.0,4600000.0,15850000.0,26.2,25.8,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2011,9/25/2011,26,Estádio Governador Magalhães Pinto,Fabrício Neves Corrêa,6348.0,,cruzeiro,vasco da gama,Émerson Ávila,Cristóvão Borges,15.0,1.0,19200000.0,14950000.0,29.6,27.4,0.0,3.0,0.0,1.0,,,,,,,,,,,,,,,vitoria,fora,
2011,9/22/2011,25,Estádio São Januário,Evandro Rogerio Roman,17935.0,,vasco da gama,atlético-go,Cristóvão Borges,Hélio dos Anjos,1.0,11.0,12800000.0,5950000.0,27.0,28.9,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,empate,casa,
2011,10/2/2011,27,Estádio São Januário,Sandro Ricci,22855.0,,vasco da gama,corinthians,Cristóvão Borges,Tite,1.0,2.0,15950000.0,22900000.0,27.8,27.8,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,empate,casa,
